Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,35.0,3.375,1,1,Energy,Black,8.29,0,0,0,1,ByBirth,00000,0,0

1,48.08,3.75,1,1,ConsumerDiscretionary,Asian,1.0,0,0,0,0,ByBirth,00100,2,0

0,15.83,7.625,1,1,Materials,White,0.125,0,1,1,1,ByBirth,00000,160,0

1,48.5,4.25,1,1,CommunicationServices,White,0.125,1,0,0,1,ByBirth,00225,0,1

1,32.67,9.0,0,0,Industrials,Black,5.25,1,0,0,1,ByBirth,00154,0,1

0,28.08,15.0,0,0,Education,Other,0.0,1,0,0,0,ByBirth,00000,13212,1
