Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,33.75,2.75,1,1,ConsumerDiscretionary,Asian,0.0,0,0,0,0,ByBirth,00180,0,0
1,38.92,1.75,1,1,Financials,White,0.5,0,0,0,1,ByBirth,00300,2,0
1,62.75,7.0,1,1,Education,Other,0.0,0,0,0,0,ByBirth,00000,12,0
1,32.25,1.5,1,1,Energy,White,0.25,0,0,0,1,ByBirth,00372,122,0
1,26.75,4.5,0,0,Energy,Asian,2.5,0,0,0,0,ByBirth,00200,1210,0
1,63.33,0.54,1,1,Energy,White,0.585,1,1,3,1,ByBirth,00180,0,0
1,27.83,1.5,1,1,Industrials,White,2.25,0,1,1,1,ByBirth,00100,3,0
0,26.17,2.0,1,1,Research,Other,0.0,0,0,0,1,ByBirth,00276,1,0
1,22.17,0.585,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth,00100,0,0
1,22.5,11.5,0,0,CommunicationServices,White,1.5,0,0,0,1,ByBirth,00000,4000,0
1,30.75,1.585,1,1,Real Estate,White,0.585,0,0,0,1,ByOtherMeans,00000,0,0
1,36.67,2.0,1,1,ConsumerDiscretionary,White,0.25,0,0,0,1,ByBirth,00221,0,0
0,16.0,0.165,1,1,ConsumerStaples,White,1.0,0,1,2,1,ByBirth,00320,1,0
1,41.17,1.335,1,1,Real Estate,White,0.165,0,0,0,0,ByBirth,00168,0,0
0,19.5,0.165,1,1,Materials,White,0.04,0,0,0,1,ByBirth,00380,0,0
1,32.42,3.0,1,1,Real Estate,White,0.165,0,0,0,1,ByBirth,00120,0,0
0,36.75,4.71,1,1,Healthcare,Latino,0.0,0,0,0,0,ByBirth,00160,0,0
0,30.25,5.5,1,1,Financials,White,5.5,0,0,0,1,ByOtherMeans,00100,0,0
1,23.08,2.5,1,1,Healthcare,Latino,0.085,0,0,0,1,ByBirth,00100,4208,0
1,26.83,0.54,1,1,Financials,Latino,0.0,0,0,0,0,ByBirth,00100,0,0
1,16.92,0.335,0,0,Financials,White,0.29,0,0,0,0,ByOtherMeans,00200,0,0
1,24.42,2.0,1,1,Education,Other,0.165,0,1,2,0,ByBirth,00320,1300,0
1,42.83,1.25,1,1,CommunicationServices,White,13.875,0,1,1,1,ByBirth,00352,112,0
0,22.75,6.165,1,1,ConsumerStaples,White,0.165,0,0,0,0,ByBirth,00220,1000,0
